Value|Category|Answer|Question
500|GETTING POSSESSIVE|Aaron's rod (turned into a snake)|In Exodus, this was thrown down before Pharaoh at Moses' instruction
100|THE EYES HAVE IT|Pupil|A student, or a minor in Roman law
200|THE EYES HAVE IT|Lash|A blow with a whip
300|THE EYES HAVE IT|Socket|A hollow area that holds a light bulb
400|THE EYES HAVE IT|Iris|Flower seen here (that fits the category)
500|THE EYES HAVE IT|Contacts|People say these are what you need to make it in Hollywood
100|OLD FOLKS IN THEIR 30s|Gwyneth Paltrow|goop.com is a lifestyles website from this Oscar-winning actress; the g & p represent her initials
200|OLD FOLKS IN THEIR 30s|Meet the Press|In 2008 David Gregory became moderator of this NBC Sunday morning news show
300|OLD FOLKS IN THEIR 30s|Linux|Linus Torvalds is the father of this operating system used on cell phones & supercomputers
400|OLD FOLKS IN THEIR 30s|North Carolina|The district of conservative rep. Patrick McHenry in this state includes Mooresville, a home of NASCAR
500|OLD FOLKS IN THEIR 30s|PayPal|Elon Musk is now making rockets & electric cars; before that he co-founded & sold this electronic payment system
100|A STATE OF COLLEGE-NESS|Texas|Baylor, Stephen F. Austin, Rice
200|A STATE OF COLLEGE-NESS|Ohio|Antioch, Bowling Green, Kent State
300|A STATE OF COLLEGE-NESS|Illinois|DePaul, Wheaton, Northwestern
400|A STATE OF COLLEGE-NESS|Michigan|Wayne State, Kalamazoo College, Madonna University (it's Franciscan Catholic, not Material Girl)
500|A STATE OF COLLEGE-NESS|Louisiana|Grambling, McNeese State, Southern
100|ANIMAL COLLECTIVE|a pride|Synonym for dignity that's the term for a group of lions
200|ANIMAL COLLECTIVE|pods|Like peas, whales & seals are in groups called these
300|ANIMAL COLLECTIVE|rhinoceroses|A crash is a group of these large horned mammals
400|ANIMAL COLLECTIVE|a kennel|It can be a pack of dogs, or a place to board them
500|ANIMAL COLLECTIVE|crows|A flock of these black birds is called a murder
100|I'D RATHER BE SKIING|a bunny hill|If you're a beginner, you might hippity-hop over to this smaller, gentler slope
200|I'D RATHER BE SKIING|powder|Something you'd sprinkle on after a shower, it's also the term for soft, dry, freshly fallen snow
300|I'D RATHER BE SKIING|Mammoth|In California, a premier spot for skiing is this resort area that shares its name with a prehistoric elephant
400|I'D RATHER BE SKIING|a slalom|In this type of race you have to zigzag between flags or other obstacles in proper order
500|I'D RATHER BE SKIING|moguls|Bumps or mounds of snow that accumulate on a slope are called these, like some very wealthy & powerful people
100|MEASURING DEVICES|sugar|The amount of this in a solution can be measured by a saccharometer
200|MEASURING DEVICES|the Sun|The energy from this is measured by a pyrheliometer
300|MEASURING DEVICES|a pedometer|An odometer measures the distance covered by a vehicle & this device measures how far you've walked
400|MEASURING DEVICES|the lungs|A spirometer measures the capacity of these organs
500|MEASURING DEVICES|the Nile River|A nilometer measures the height of the water in this
100|MYTHOLOGY|wax|Daedalus used this substance to fasten the wings to his back
200|MYTHOLOGY|teeth|Cadmus planted these parts of a dragon to raise some troops
300|MYTHOLOGY|Electra|The sister of Orestes, mourning became her
400|MYTHOLOGY|Titans|Zeus' father, Cronus, was one of this group of 12
500|MYTHOLOGY|Castor|Leda laid 2 eggs:  one with Helen & Pollux in it, the other containing Clytemnestra & him
100|ANNUAL EVENTS|Utah|This state's Days of '47 Festival honors the day Brigham Young reached the Salt Lake Valley in 1847
200|ANNUAL EVENTS|Washington|Monroe, near Snohomish in this state, is the site of the annual Evergreen State Fair
300|ANNUAL EVENTS|New York City|Dog lovers look forward to the Westminster Kennel Club dog show, held each February in this city
400|ANNUAL EVENTS|Oregon|The Pendleton Roundup, an annual rodeo, takes place in Pendleton in this northwestern state
500|ANNUAL EVENTS|Massachusetts|The Tanglewood Music Festival is a summer highlight in Lenox in this New England state
100|HOMOPHONIC PAIRS|whole hole|A complete donut center
200|HOMOPHONIC PAIRS|for four|In a restaurant, it's a quartet's table request
300|HOMOPHONIC PAIRS|per purr|Contented performing kittens might be paid this way
400|HOMOPHONIC PAIRS|gored gourd|A squash that's been pierced by a bull's horn
500|HOMOPHONIC PAIRS|stayed staid|Remained sedate
100|STATE SUPERLATIVES|California|A valley at 282 feet below sea level in this state is the lowest point in the Western Hemisphere
200|STATE SUPERLATIVES|Alaska|With 6,640 miles of coast, this state has the longest shoreline
300|STATE SUPERLATIVES|Texas|It pumps more than one million barrels of oil a day, more than any other state
400|STATE SUPERLATIVES|Minnesota|Considered the healthiest state in 2006, it's also home to the Mayo Clinic
500|STATE SUPERLATIVES|Washington|Its Boeing manufacturing plant in Everett is the world's largest building by volume
100|NATIONAL MONUMENTS|Little Bighorn|George Custer's men are buried in a cemetery in the national monument named for this river
200|NATIONAL MONUMENTS|Oregon Trail|Scotts Bluff National Monument lies in western Nebraska on this pioneer trail
300|NATIONAL MONUMENTS|Fort Sumter|Seminole Indian leader Osceola is buried at this fort where the Civil War began
400|NATIONAL MONUMENTS|Devils Tower|This Wyoming monument contains an 865-foot-high fluted column of igneous rock
500|NATIONAL MONUMENTS|St. Augustine|Castillo de San Marcos in this Florida city is the oldest masonry fort in the continental U.S.
100|LIBRARIES|Ireland|Marsh's Library in this country was founded c. 1702 by the Archbishop of Dublin
200|LIBRARIES|the LBJ library|Architect Gordon Bunshaft designed this presidential library in Austin, Texas
300|LIBRARIES|Yale|Sterling Memorial Library in New Haven, Connecticut houses the archives of this university
400|LIBRARIES|Steinbeck|Salinas, California, has a public library named for this novelist
500|LIBRARIES|Oxford University|In 1602 this university's library reopened after restoration work by Sir Thomas Bodley
100|VERMONTERS|Ethan Allen|This leader of the Green Mountain Boys did not live to see Vermont become a state
200|VERMONTERS|Joseph Smith|This founding prophet of Mormonism was born in Sharon, Vermont in 1805
300|VERMONTERS|John Deere|This plow inventor was a Vermont blacksmith before moving to Grand Detour, Illinois
400|VERMONTERS|the Sherman (Antitrust Act)|George Franklin Edmunds wrote most of this antitrust act of 1890
500|VERMONTERS|Horace Greeley|At age 15 this future New York Tribune editor was apprenticed to a printer in East Poultney
100|CANADIAN GEOGRAPHY, EH?|Greenland|A narrow passage separates Canada's Ellesmere Island from this large Danish island
200|CANADIAN GEOGRAPHY, EH?|the Yukon Territory|Mount Logan, Canada's highest peak, is found in this territory
300|CANADIAN GEOGRAPHY, EH?|Vancouver|Of the top 5 Canadian cities in population, it's the one closest to the Pacific Ocean
400|CANADIAN GEOGRAPHY, EH?|Nova Scotia|Appropriately, New Glasgow is in this Canadian province
500|CANADIAN GEOGRAPHY, EH?|Ontario|This province has the longest border, including water, with the United States
100|CLOTHING WORDS|tie|A score of 22-22, for instance
200|CLOTHING WORDS|slip|To lose footing on icy ground
300|CLOTHING WORDS|pants|Breathes heavily, like a dog or a tired jogger
400|CLOTHING WORDS|coat|A layer of paint
500|CLOTHING WORDS|socks/belts|Hits hard
100|BIG, REALLY BIG!|Union Station|Built on 200 acres, this Washington, D.C. train station was once the world's largest
200|BIG, REALLY BIG!|Louisville Slugger|The 120-foot big bat being transported here is now at the Kentucky museum named for this 2-word brand
300|BIG, REALLY BIG!|an iceberg|In 1956 a 12,000-square-mile one of these was seen floating off Antarctica; you might call it titanic
400|BIG, REALLY BIG!|the Hoover Dam|(Jimmy of the Clue Crew)  In 1996 a 505 X 255-foot flag decorated this structure seen here in the West
500|BIG, REALLY BIG!|(Lord) Nelson's Column|Lady Hamilton could tell you the name of this 185-foot column that went up in the early 1840s
100|POLITICAL MOVIES|All the President's Men|2 reporters unearth a political scandal that goes all the way to the top in this 1976 film based on a book
200|POLITICAL MOVIES|Mr. Smith Goes to Washington|Jimmy Stewart played Jefferson Smith, the naive & idealistic appointee to the U.S. Senate in this Capra classic
300|POLITICAL MOVIES|Primary Colors|This political satire starred John Travolta as a Southern governor running for president
400|POLITICAL MOVIES|Dave|Frank Langella is the power hungry chief of staff in this film in which Kevin Kline plays a presidential impersonator
500|POLITICAL MOVIES|The American President|Michael Douglas played Andrew Shepherd, the title character of this film, & even he had trouble dating
100|MONEY SLANG|grand|We'll give you $200, not $1,000, for this five letter word meaning stately or majestic
200|MONEY SLANG|a clam|The shell of this mollusk is composed chiefly of calcium carbonate
300|MONEY SLANG|a fin|You don't get 5 guesses at this winglike appendage to the underwater portion of a hull
400|MONEY SLANG|the Benjamins|When speaking of Messrs. Netanyahu or Britten, it's all about the first name, pluralized
500|MONEY SLANG|Buck|Cheap way off a rodeo bronco
100|AFRICAN GEOGRAPHY|Egypt|The Qattara Depression, one of Africa's lowest points, lies 300 miles southwest of this country's pyramids
200|AFRICAN GEOGRAPHY|Tripoli|Arabs call this Libyan capital Tarabulus
300|AFRICAN GEOGRAPHY|Atlantic|Most of Africa's major rivers, including the Congo & the Niger, flow into this ocean
400|AFRICAN GEOGRAPHY|Kalahari|In addition to its bountiful wildlife, this desert is the site of the Orapa diamond mine, one of the world's largest
500|AFRICAN GEOGRAPHY|Atlas Mountains|Jebel Musa, a promontory in this mountain range, is one of the Pillars of Hercules
100|AIN'T THAT AMERICA|Michigan|The Mackinac Bridge joins the upper & lower peninsulas of this U.S. state
200|AIN'T THAT AMERICA|Louisiana|This state was named for a man who was a European king from 1643 to 1715
300|AIN'T THAT AMERICA|Texas|There are more farms in this large southwestern state than in any other
400|AIN'T THAT AMERICA|Truth or Consequences (Hot Springs)|This town bearing the name of an old TV game show is the seat of Sierra County, New Mexico
500|AIN'T THAT AMERICA|Oh! Calcutta!|On June 17, 1969 this controversial erotic revue opened off-Broadway; oh my!
100|EUROPE|Tricolor|Descriptive term for the flag of Italy & the flag of France
200|EUROPE|Karol Wojtyla (Pope John Paul II)|From 1963 to 1978 he was Archbishop of Krakow
300|EUROPE|Lapland|Geographic region within the Arctic Circle named for the people who call themselves the Sami
400|EUROPE|Luxembourg|It's the smallest in area of the Benelux countries
500|EUROPE|Hungary|The fertile plain east of the Danube, making up half this country's area, is called the Great Alfold
100|WEEDS|Pollen|The most common cause of hay fever in the U.S. is this substance from ragweed
200|WEEDS|Milkweed|This common weed seen here has a beverage in its name
300|WEEDS|Hemlock|This plant whose alkaloids ended Socrates' life now grows on American roadsides
400|WEEDS|Lace|This fabric follows Queen Anne's in the name of the weed seen here
500|WEEDS|Wort|In the names of weeds, this old word for a plant follows soap- & St. John's
100|NUMBERS|Moses|Fittingly, the book of Numbers begins with God telling this man to count the number of Israelites
200|NUMBERS|Fourth|Numbers appears at this number position in the order of the books of the Bible
300|NUMBERS|Joshua|Of the 12 spies sent, only Caleb & this future leader believed the Israelites could take Canaan
400|NUMBERS|Levites|In chapter 8, this tribe of Israelites is appointed to work in the tabernacle
500|NUMBERS|Aaron|In chapter 20, Eleazar succeeds this man, his father, as high priest
100|TWO|Adolphus Busch|In suds: Eberhard Anheuser &...
200|TWO|John Myers|In pharmaceuticals: William Bristol &...
300|TWO|Guy Day|In advertising: Jay Chiat &...
400|TWO|Harold Stratton|In engines: Stephen Briggs &...
500|TWO|Stefano Gabbana|In fashion: Domenico Dolce &...
100|JUAN|Juan Peron|Days out of prison in 1945, he married Maria Eva Duarte; we now know her as Evita
200|JUAN|Florida|While trying to colonize what's now this state, Juan Ponce de Leon received a mortal wound from the natives
300|JUAN|Bullfighting|Juan Belmonte is considered the founder of the modern version of this sport, ole!
400|JUAN|Texas Rangers (now with the Tigers)|1998's MVP in the American League was outfielder Juan Gonzalez, then with this team
500|JUAN|Juan Gabriel|In 1995 he was named ASCAP's Latin Songwriter of the Year & in 1996, sang a duet with Paul Anka
100|ABBREVIATED STATES|Oregon|This state that acts as a conjunction between Nevada & Washington has an abbreviation that is a conjunction
200|ABBREVIATED STATES|Louisiana|The abbreviation of this state is also an abbreviation for the largest city in California
300|ABBREVIATED STATES|Missouri|Show me that the abbreviation for this state means the habits of a predictable criminal
400|ABBREVIATED STATES|Alaska|When abbreviated before the number 47, this state becomes an assault weapon
500|ABBREVIATED STATES|Virginia|State whose abbreviation is also a cabinet department that was formed in 1989
100|JEWELRY|Ivory|Sotheby's has announced it won't sell any items of this tusk material produced since 1939
200|JEWELRY|Egypt|The scarab, lotus flower & Isis knot were all designs used in this country's jewelry
300|JEWELRY|Platinum|Known for its malleability & white brilliance, this rare metal has been used in jewelry since the 19th C.
400|JEWELRY|Cameos|Josiah Wedgwood designed these jewelry pieces using a white paste relief on a colored backgorund
500|JEWELRY|Black|Tahiti & French Polynesia are famous for pearls of this color
100|SPORTS EQUIPMENT|Gloves|Until 1954 major league players could leave these on the field when it was their team's turn to bat
200|SPORTS EQUIPMENT|jai alai|A curved wicker basket called a cesta is used to catch & throw the ball in this sport
300|SPORTS EQUIPMENT|Hammer & Shot-Put|1 of 2 pieces of equipment in track & field that weigh 16 pounds
400|SPORTS EQUIPMENT|Driver|Alternate name for the number one wood in golf
500|SPORTS EQUIPMENT|Balance Beam|This apparatus used in women's gymnastics is about 4 in. wide & 16 ft. long
100|PIZZA TOPPINGS|pepperoni|This type of hard sausage is America's favorite pizza topping
200|PIZZA TOPPINGS|pineapple|How about a nice traditional Hawaiian pizza topped with ham or Canadian bacon & this fruit
300|PIZZA TOPPINGS|tomatoes|These on your pizza may be fire-roasted, sun-dried, or just fresh sliced Romas
400|PIZZA TOPPINGS|Anchovies|On November 12 celebrate National Pizza with the Works Except these fish Day
500|PIZZA TOPPINGS|mushrooms|Wild ones of these found on pizza include shiitakes, morels & chanterelles
100|VALUABLE PLACES|Pearl Harbor|Hickham Field sustained damage during the Japanese attack on this nearby site December 7, 1941
200|VALUABLE PLACES|The Emerald City|The Yellow Brick Road leads to it
300|VALUABLE PLACES|Crystal|Sir Joseph Paxton's palace, or Dr. Robert Schuller's cathedral
400|VALUABLE PLACES|Diamonds|You can keep the valuable rocks you find in the state park near Murfreesboro, Arkansas: Crater of these
500|VALUABLE PLACES|Ruby Ridge|During a 1992 standoff, the FBI captured white supremacist Randy Weaver at this Idaho site
100|NAME THE AUTOMAKER|Ford|Taurus & T-Bird
200|NAME THE AUTOMAKER|Acura|Legend & Integra
300|NAME THE AUTOMAKER|Dodge|Stratus & Stealth
400|NAME THE AUTOMAKER|Mazda|Protege & Millenia
500|NAME THE AUTOMAKER|Rolls-Royce|Corniche & Silver Shadow
100|COLLEGES & UNIVERSITIES|Brigham Young|It has the largest enrollment of any university in Utah
200|COLLEGES & UNIVERSITIES|Vassar|In 1865 this school in Poughkeepsie became the first women's college in the U.S. to have facilities equal to the men's schools
300|COLLEGES & UNIVERSITIES|Pepperdine|In 1937 this Malibu, Calif. university was established by & named for the founder of Western Auto Supply Company
400|COLLEGES & UNIVERSITIES|Oral Roberts University|This Tulsa, Oklahoma school's athletic teams are called the Golden Eagles, not the Evangelists
500|COLLEGES & UNIVERSITIES|Purdue|This West Lafayette, Indiana school's Hall of Music has seating for more than 6,000
100|RECORD LOSSES IN 2005|Berkeley|A computer with 98,000 names & SSNs was reported stolen from this oldest campus of the Univ. of Calif.
200|RECORD LOSSES IN 2005|Polo|Named for a sport that embodies high society, this Ralph Lauren co. was hacked for 180,000 credit card numbers
300|RECORD LOSSES IN 2005|Time Warner|This company that owns HBO & Turner Broadcasting lost a backup tape with 600,000 names & SSNs
400|RECORD LOSSES IN 2005|Citigroup|Data on 4 million customers were lost by this group formed by a 1998 merger with Travelers
500|RECORD LOSSES IN 2005|San Jose|A medical group lost 185,000 personal & medical records in this city, the seat of Santa Clara County
100|ENGLAND, SCOTLAND OR WALES|England|The largest in area of the 3
200|ENGLAND, SCOTLAND OR WALES|Scotland|Tony Blair was born there
300|ENGLAND, SCOTLAND OR WALES|Wales|The one that is technically a principality
400|ENGLAND, SCOTLAND OR WALES|Scotland|It has the westernmost territory
500|ENGLAND, SCOTLAND OR WALES|Wales|The Cambrian Mountains cover most of it
100|THE TITANIC|the youngest person|Milvina Dean, who had this distinction among the 2,200 people on board, lived to see the 95th anniv. in 2007
200|THE TITANIC|watertight|The U.S. Senate inquiry noted that the 16 compartments in the Titanic's hull that supposedly were this, weren't
300|THE TITANIC|lifejackets|The Titanic carried plenty of these, 3,560, but many passengers died wearing them in the 28-degree water
400|THE TITANIC|anchors|You can still see the crane to lower these; the starboard & port ones weighed 9 tons, the center one, 17 tons
500|THE TITANIC|the bridge|The ship was so big, communication was by telegraph from this navigating area to the engine room
100|IT HAPPENED IN NOVEMBER|the Gettysburg Address|Abraham Lincoln delivered this November 19, 1863; it lasted all of 2 minutes
200|IT HAPPENED IN NOVEMBER|Anne Hathaway|18-year-old Will Shakespeare married her in November 1582; their daughter was born 6 months later
300|IT HAPPENED IN NOVEMBER|D.B. Cooper|He stepped out of Northwest Airlines Flight 305 on November 24, 1971, & hasn't been seen since
400|IT HAPPENED IN NOVEMBER|(King) Juan Carlos|The start of his reign in Spain falls mainly on the 22nd of November, 1975
500|IT HAPPENED IN NOVEMBER|Tutankhamen's tomb|In Nov. 1922, after years of searching, Lord Carnarvon & Howard Carter made this discovery
100|INSTRUMENTS OF CHANGE|clarinet|Reed all about it: ARC INLET
200|INSTRUMENTS OF CHANGE|saxophone|It's a brass wind instrument: OH OX ASPEN
300|INSTRUMENTS OF CHANGE|harmonica|Blow in & out: NO CHAIR MA
400|INSTRUMENTS OF CHANGE|accordion|Oh, it bellows: RANCID COO
500|INSTRUMENTS OF CHANGE|mandolin|Pear-shaped? Abso-lute-ly: NIL NOMAD
100|BATTLE TO NAME THE WAR|World War II|The Battle of Stalingrad
200|BATTLE TO NAME THE WAR|the Vietnam War|Quang Tri City; the cavalry was sent!
300|BATTLE TO NAME THE WAR|the Revolutionary War|Quebec &, a year later, Trenton
400|BATTLE TO NAME THE WAR|the Korean War|No one enjoyed the portions at Pork Chop Hill
500|BATTLE TO NAME THE WAR|the War of the Roses|Let me take you down, 'cause we're going to... Bosworth Field
100|MAGAZINE FEATURES|Sports Illustrated|Leading Off, Faces in the Crowd, Scorecard
200|MAGAZINE FEATURES|The New Yorker|Goings on About Town, The Talk of the Town, The Critics
300|MAGAZINE FEATURES|Vanity Fair|Agenda, Fairground, Fanfair
400|MAGAZINE FEATURES|People|Star Tracks, Scoop, Chatter
500|MAGAZINE FEATURES|National Geographic|Your Shot, Where in the World?, Visions of Earth
100|3-LETTER ABBREV.|a point of view|Everyone has one: POV
200|3-LETTER ABBREV.|date of birth|On some forms & applications: DOB
300|3-LETTER ABBREV.|Latter Day Saints|A religious group: LDS
400|3-LETTER ABBREV.|adjusted gross income|For tax purposes, the total amount you earned less deductions: AGI
500|3-LETTER ABBREV.|the League of Women Voters|Organization founded by Carrie Chapman Catt in 1920: LWV
100|CELEBRITY RHYME TIME|Bruce's juices|Willis's Snapples and Cran-apples
200|CELEBRITY RHYME TIME|Kutcher's butchers|Ashton's meat sellers
300|CELEBRITY RHYME TIME|Kim's gyms|Cattrall's rooms for hot, sweaty workouts
400|CELEBRITY RHYME TIME|Peet's streets|Amanda's avenues
500|CELEBRITY RHYME TIME|Matt's bats|Lauer's chiropterans
100|U.S. GEOGRAPHY|Oahu|Of Hawaii's 8 main islands, this one receives the lion's share of the tourist dollars
200|U.S. GEOGRAPHY|Mt. McKinley|When the Russians owned Alaska, they referred to this tall peak as Bolshaya Gora
300|U.S. GEOGRAPHY|Rio Grande|This river begins in Colorado & empties into the Gulf of Mexico near Brownsville, Texas
400|U.S. GEOGRAPHY|Alabama and Georgia|Florida's panhandle borders these 2 states
500|U.S. GEOGRAPHY|Lake Champlain|This large lake on the New York-Vermont border is Vermont's lowest point
100|FIRST NAME'S THE SAME|Johnny|Cash, Depp
200|FIRST NAME'S THE SAME|Scott|Bakula, Wolf
300|FIRST NAME'S THE SAME|Drew|Carey, Bledsoe
400|FIRST NAME'S THE SAME|Matthew|Lillard, Modine
500|FIRST NAME'S THE SAME|Jennifer|Connelly, Garner, Holliday
100|COMMON BONDS|prizes|Door, Nobel, booby
200|COMMON BONDS|things with holes|Inner tubes, doughnuts, the ozone layer
300|COMMON BONDS|pins|Bobby, bowling,  rolling
400|COMMON BONDS|bowls|Hollywood, salad, Super
500|COMMON BONDS|Barney|Fife, Rubble, Miller
100|SIMPLE SCIENCE|gaseous|State of matter a substance is in after it's gone through evaporation
200|SIMPLE SCIENCE|6|Number of sides on a honeycomb cell or on a snowflake
300|SIMPLE SCIENCE|your tibia|We wouldn't fib, your fibula runs parallel with this bone
400|SIMPLE SCIENCE|iodine|A poison in pure form, this element used as a germicide on cuts has a chemical symbol that's a pronoun
500|SIMPLE SCIENCE|Rene Descartes|French mathematician who devised the plotting system that uses coordinates named for him
100|FARAWAY PLACES|Sahara|This large African desert is home to 2 million people, about as many as Utah
200|FARAWAY PLACES|Scotland|This land that's north of England has odd place names lile Loch Lochy & Loch Oich
300|FARAWAY PLACES|Beijing|The Forbidden City is at the heart of this capital of China, also called Peking
400|FARAWAY PLACES|Red Sea|To get from Africa to Arabia, you cross (or part) this sea that has a colorful name
500|FARAWAY PLACES|Canada|In 1999 all of Nunavut became a territory in this country, the second largest in area in the world
100|BIRDS!  BIRDS!  BIRDS!|Penguin|It loves to swim, but this bird seen here is one of the few that do not fly
200|BIRDS!  BIRDS!  BIRDS!|Owl|Seen here, the great horned type of this bird is found from Alaska to South America
300|BIRDS!  BIRDS!  BIRDS!|Ostrich|The largest bird in the world, this one, seen here, is also the fastest on land
400|BIRDS!  BIRDS!  BIRDS!|Parrot|The colorful macaw variety of this bird is seen here
500|BIRDS!  BIRDS!  BIRDS!|Bald eagle|A national symbol, this endangered bird has been making a comeback in recent years
100|THAT'S BUSINESS|(Charles M.) Barnes|He started a book business from his home in 1873; his son William joined forces with G. Clifford Noble in 1917
200|THAT'S BUSINESS|Bermuda|In 1997 Tyco International moved to this U.K. territory in the Atlantic for tax purposes
300|THAT'S BUSINESS|Benetton|An Italian clothier is known as the United Colors of this
400|THAT'S BUSINESS|Proctor & Gamble|In 1851 this company started using a logo with a man in the moon & 13 stars; now it uses its initials
500|THAT'S BUSINESS|Kenmore|In 1927 this brand name first appeared on a Sears washing machine
100|FOREIGN|Sunday|In Portuguese, domingo is this day of the week
200|FOREIGN|a bird|In French, l'oiseau is this; it sports les plumes
300|FOREIGN|spinach|If Popeye spoke Hebrew he'd ask for tered, this
400|FOREIGN|thirteen|Tredici is Italian for this symbol of bad luck
500|FOREIGN|a mountain|In German, berg is this topographical feature on a map
100|WARNER BROS.|Jenny Jones|In May 1999 her Warners talk show was hit with a $2.5 million judgment after one guest killed another
200|WARNER BROS.|Burbank|You can tour the Warner Bros. lot online, or in person in this San Fernando Valley city
300|WARNER BROS.|Time|Former mortuary entrepreneur Steve Ross negotiated Warners' 1989 merger with this publisher
400|WARNER BROS.|The Jazz Singer|Movies found their voice in this 1927 Warner Bros. film
500|WARNER BROS.|Jack Warner|He outlasted his brothers Sam, Albert & Harry in the company, finally selling out in 1967
100|BIRDS|Penguin|Only the adelie & emperor species of this bird actually breed in Antarctica
200|BIRDS|Blue jay|This bird seen here is the provincial bird of Prince Edward Island
300|BIRDS|Pigeon|The racing homer breed of this domestic bird was developed in Belgium, the traditional home of the sport
400|BIRDS|Flamingo|In captivitiy, these wading birds are fed carotenoid pigments to keep the plumage color they have in the wild
500|BIRDS|Peregrine falcon|Also known as a duck hawk, it has been clocked at 175 miles per hour during a dive
100|AUTHORS' RHYME TIME|Scott's pots|Sir Walter's saucepans
200|AUTHORS' RHYME TIME|Bram's lambs|Stoker's sheeplings
300|AUTHORS' RHYME TIME|Mickey's hickeys|Spillane's love-bites
400|AUTHORS' RHYME TIME|Rice's vices|Anne's bad habits
500|AUTHORS' RHYME TIME|Howe's sows;23456|Julia Ward's female swine
100|SHIPS|Santa Maria|This ship, Columbus' flagship., was originally called the Marigalanti
200|SHIPS|Magellan|Neither this admiral nor his flagship, the Trinidad, completed the circumnavigation of the globe
300|SHIPS|the Queen Mary|The Queen Elizabeth was a few feet lnger than this, her sister ship
400|SHIPS|the Beagle|In 1831 Charles Darwin sailed as naturalist on this ship
500|SHIPS|(nuclear) submarines|The Thresher & Scorpion were this type of ship; 1 was lost in 1963, 1 in 1968
100|KING ARTHUR|Merlin|Shortly after birth, Arthur was given to this wizard for safekeeping
200|KING ARTHUR|the Holy Grail|Arthur's round table had a seat reserved for this knight who could find this
300|KING ARTHUR|Lancelot|Arthur set up the diamond jousts, a series of 9 annual tournaments all won by this knight
400|KING ARTHUR|a sword in the stone|The title of this T.H. White book refers to the object that made Arthur king
500|KING ARTHUR|Avalon|After Mordred mortally wounded him, Arthur's body was carried away to this island
100|NATURE|lizards|Some of the fanciest of these reptiles are beaded, horned, or frilled
200|NATURE|hounds|The AKC could tell that Afghans & Salukis belong to this dog group
300|NATURE|a bird|The oxpecker, which is this type of animal, likes to ride on the backs of giraffes
400|NATURE|a gazelle|The Dorcas type of this graceful antelope is one of the smallest; it's barely 2 feet tall
500|NATURE|the cheetah|This spotted cat is also known as the hunting leopard
100|AMERICAN HISTORY|Charleston|When West Virginia became a state in 1863, Wheeling was its capital; this city became the permanent capital in 1885
200|AMERICAN HISTORY|William Penn|In 1698, after an absence of 15 years, he returned to the colony named for his father
300|AMERICAN HISTORY|Daniel Webster|On Aug. 2, 1826 at Boston's Faneuil Hall, this great orator delivered a eulogy on Jefferson & Adams
400|AMERICAN HISTORY|Folsom|Completed in 1856, California's first railroad ran 22 miles between Sacramento & this prison city
500|AMERICAN HISTORY|Mormonism|Between 1856 & 1860, 2,962 of this faith set out from Iowa & Nebraska to Utah in the Handcart Migration
100|WHO'S THE MRS.?|Jennifer Aniston|Mrs. Brad Pitt
200|WHO'S THE MRS.?|Faith Hill|Mrs. Tim McGraw
